IPAddress,Duration (in seconds),Finished,RecordedDate,ResponseId,consent,ID,browser_info_Resolution,timer_pitch_deck_First Click,timer_pitch_deck_Last Click,timer_pitch_deck_Page Submit,timer_pitch_deck_Click Count,timer_mc_quality_First Click,timer_mc_quality_Last Click,timer_mc_quality_Page Submit,timer_mc_quality_Click Count,invest_prob_1,cvpa_v_1,cvpa_v_2,cvpa_v_3,cvpa_v_4,cvpa_a_1,cvpa_a_2,cvpa_a_3,cvpa_a_4,cvpa_r_1,cvpa_r_2,cvpa_r_3,age,gender,invest_experience,attention_check,attention_check_99_TEXT,comprehension_check,PROLIFIC_PID,fluency_condition,quality_condition,device
72,249,TRUE,2022-11-30T14:56:40Z,R_2BeUTKjShOiAlBY,yes,72,375x812,43.205,43.205,76.907,1,4.647,4.647,5.264,1,16,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,31,Female,2,Other,I have read this text carefully,HR technology,72,high,low,mobile
73,120,TRUE,2022-11-30T14:56:48Z,R_1C3mDqCqgvc87xe,yes,73,1920x1080,0,0,2.059,0,6.001,6.001,6.624,1,0,Disagree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,28,Male,2,Every day,NA,HR technology,73,low,low,NA
74,225,TRUE,2022-11-30T14:56:55Z,R_1kMIYMWVgrlUGuQ,yes,74,375x812,0.504,9.909,121.704,3,6.68,11.594,12.229,3,65,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,24,Male,4,2-3 times a week,NA,HR technology,74,high,high,mobile
75,406,TRUE,2022-11-30T14:58:16Z,R_3PdvA5XCMfEust5,yes,75,674x842,16.881,16.881,165.063,1,8.822,8.822,11.582,1,25,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,55,Male,3,Every day,NA,HR technology,75,high,low,mobile
76,631,TRUE,2022-11-30T14:58:48Z,R_1OoQgpbAe9bkDmS,yes,76,1366x768,28.643,28.643,262.899,1,13.917,15.871,16.799,2,58,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,61,Female,0,Other,I have read this text carefully,HR technology,76,low,low,NA
77,476,TRUE,2022-11-30T14:58:54Z,R_3qrlQ8aTlvskGyK,yes,77,1920x1080,27.189,27.189,266.72,1,8.905,8.905,9.712,1,75,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,44,Male,2,Other,I have read this text carefully,HR technology,77,low,high,NA
78,1505,TRUE,2022-11-30T14:59:00Z,R_1mpXuIn7g5DgrzP,yes,78,1920x1080,9.576,9.576,364.891,1,5.665,5.665,8.064,1,70,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Agree,42,Female,0,Other,I have read this text carefully,HR technology,78,low,high,NA
79,296,TRUE,2022-11-30T14:59:04Z,R_2ro0r0o3zupTbb5,yes,79,360x740,5.131,8.125,150.171,2,2.639,2.639,3.244,1,72,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Agree,38,Female,0,Other,I have read this text carefully,HR technology,79,low,high,mobile
80,699,TRUE,2022-11-30T14:59:24Z,R_1doUH1BrpEhPA3k,yes,80,1280x720,6.784,6.784,360.969,1,2.978,5.817,6.8,2,10,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,74,Female,11,Other,I have read this text carefully,HR technology,80,low,low,NA
81,429,TRUE,2022-11-30T14:59:41Z,R_z12DcaR9Xu034xb,yes,81,1280x720,21.105,22.914,194.176,2,3.935,8.145,24.04,2,20,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,55,Male,0,Other,I have read the text carefully,HR technology,81,high,high,NA
82,102,TRUE,2022-11-30T15:00:01Z,R_10HLZ649nc80TQR,yes,82,1440x900,6.166,6.166,13.067,1,4.34,4.34,23.98,1,7,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,44,Male,20,4-6 times a week,NA,HR technology,82,low,low,NA
83,185,TRUE,2022-11-30T15:00:04Z,R_3iUTM1aDf9UAmAD,yes,83,1366x768,2.777,6.2,80.952,2,3.8,3.8,6.342,1,14,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,56,Male,10,2-3 times a week,NA,HR technology,83,low,high,NA
84,397,TRUE,2022-11-30T15:00:11Z,R_1DOpJcS3FB8O8BK,yes,84,1280x720,12.053,241.932,242.424,3,9.566,9.566,10.363,1,15,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,32,Female,6,Other,I have read this text carefully,HR technology,84,low,low,NA
85,175,TRUE,2022-11-30T15:00:31Z,R_1lu8MeJwfGq2qDw,yes,85,1920x1080,4.557,4.557,92.914,1,2.544,2.544,3.412,1,22,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,44,Male,0,Other,I have read this text carefully,HR technology,85,high,low,NA
86,140,TRUE,2022-11-30T15:00:33Z,R_3phwpogaUPqkiwo,yes,86,2560x1440,3.875,3.875,12.664,1,58.912,58.912,59.698,1,8,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,26,Female,2,Once a week,NA,HR technology,86,low,low,NA
87,220,TRUE,2022-11-30T15:01:11Z,R_2QPznI8w73FFZki,yes,87,1366x768,27.402,27.402,29.708,1,5.9,11.882,13.147,3,36,Disagree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Strongly disagree,61,Female,0,Other,I have read this text carefully,HR technology,87,high,high,NA
88,178,TRUE,2022-11-30T15:01:22Z,R_2cbm6eyUwLezwCb,yes,88,1536x864,1.309,3.502,7.192,3,0.952,51.218,60.39,3,59,Disagree,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,35,Male,0,Other,I have read this text carefully,HR technology,88,low,high,NA
89,155,TRUE,2022-11-30T15:01:32Z,R_3D5AjQRKRKv3bUU,yes,89,412x869,0.82,3.468,86.17,2,5.405,5.405,6.222,1,40,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,21,Male,2,Other,I have read this text carefully,HR technology,89,low,high,mobile
90,195,TRUE,2022-11-30T15:01:37Z,R_2eXWEW2K6oN4egv,yes,90,1536x864,6.371,16.603,108.495,2,3.76,3.76,4.598,1,75,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,34,Female,5,Other,I have read this text carefully,HR technology,90,high,high,NA
91,251,TRUE,2022-11-30T15:01:58Z,R_3QVniEahNczqytK,yes,91,1920x1080,8.526,8.526,138.219,1,4.96,4.96,5.716,1,71,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,43,Female,2,Other,I have read this text carefully,HR technology,91,low,high,NA
92,126,TRUE,2022-11-30T15:02:01Z,R_1IMigcoeuRtaeYA,yes,92,1920x1080,1.931,1.931,23.417,1,6.449,6.449,7.117,1,5,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,32,Male,5,Other,I have read this text carefully,HR technology,92,low,low,NA
93,220,TRUE,2022-11-30T15:02:04Z,R_3Lbvc4Q044EvKtP,yes,93,2560x1080,1.654,1.654,6.846,1,1.698,3.612,4.125,3,68,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,18,Male,6,Every day,NA,HR technology,93,high,high,NA
94,532,TRUE,2022-11-30T15:02:07Z,R_3JqrGEXrObD27tp,yes,94,1536x864,1.314,365.478,367.281,8,4.785,5.778,6.23,2,18,Disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,29,Female,2,Other,I have read this text carefully,HR technology,94,high,low,NA
95,126,TRUE,2022-11-30T15:02:08Z,R_23UY2riIigFnsKu,yes,95,414x896,0,0,9.653,0,6.951,6.951,8.543,1,18,Agree,Agree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Agree,Agree,32,Female,3,Once a week,NA,Medical innovation,95,high,high,mobile
96,484,TRUE,2022-11-30T15:02:15Z,R_31asP8FBBtVFArR,yes,96,1476x830,20.997,20.997,342.866,1,6.217,9.002,10.466,2,60,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,52,Female,1,Other,I have read this text carefully,HR technology,96,high,high,NA
97,380,TRUE,2022-11-30T15:02:46Z,R_1rvSVcrLsSDYjXI,yes,97,375x667,6.606,16.021,208.384,2,4.738,8.029,15.99,2,15,Strongly disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,42,Female,2,Other,I have read this text carefully.,HR technology,97,high,high,mobile
98,574,TRUE,2022-11-30T15:02:55Z,R_1Csut2NaFnaoGPz,yes,98,1920x1200,95.465,95.465,370.172,1,39.013,44.198,48.674,3,25,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,46,Male,15,Other,I have read this text carefully,HR technology,98,high,high,NA
99,417,TRUE,2022-11-30T15:03:13Z,R_29mj1y7KDr7ZNF4,yes,99,1536x864,8.145,8.145,234.891,1,15.904,15.904,17.823,1,25,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,37,Male,0,Other,I have read this text carefully,HR technology,99,high,low,NA
100,285,TRUE,2022-11-30T15:03:19Z,R_sNKIZAifBXJtMXL,yes,100,2048x1152,0,0,7.947,0,10.57,10.57,11.384,1,52,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,42,Male,5,Other,I have read this text carefully,Medical innovation,100,low,low,NA
101,180,TRUE,2022-11-30T15:03:30Z,R_2U4JdhaSxqqLCSl,yes,101,1920x1080,4.018,6.682,10.27,2,37.212,37.212,38.263,1,70,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,30,Female,0,Other,"I have read this text carefully
",HR technology,101,high,high,NA
102,313,TRUE,2022-11-30T15:03:34Z,R_2EgxsCGX2G7d9Sa,yes,102,412x915,14.748,14.748,199.285,1,4.524,4.524,5.278,1,82,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,40,Female,2,Other,I have read this text carefully,HR technology,102,high,low,mobile
103,221,TRUE,2022-11-30T15:03:36Z,R_3I0jPhCh8WMWzlx,yes,103,1920x1080,2.322,2.322,121.11,1,24.636,24.636,25.94,1,60,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,59,Male,5,Other,I have read this text carefully,HR technology,103,low,high,NA
104,203,TRUE,2022-11-30T15:03:48Z,R_2Puu47tzv7P84D6,yes,104,1536x864,2.606,2.606,124.821,1,3.517,3.517,4.8,1,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,58,Male,22,Other,I have read this text carefully,HR technology,104,high,low,NA
105,121,TRUE,2022-11-30T15:03:49Z,R_1ln3Kh7zJaAJppv,yes,105,360x640,2.946,57.472,58.408,4,3.902,3.902,4.792,1,33,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,37,Male,5,Once a week,NA,HR technology,105,high,low,mobile
106,616,TRUE,2022-11-30T15:03:50Z,R_1N3NooOlzaJsCmt,yes,106,534x854,18.607,320.941,323.438,3,11.003,11.003,12.387,1,74,Agree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,56,Male,0,Once a week,NA,HR technology,106,low,low,mobile
107,317,TRUE,2022-11-30T15:04:47Z,R_2DYKwJ40NlnuZMJ,yes,107,2048x1152,4.551,4.551,196.197,1,2.093,8.213,9.419,2,60,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Agree,Agree,Disagree,Disagree,27,Female,0,Other,I have read this text carefully,HR technology,107,high,low,NA
108,270,TRUE,2022-11-30T15:05:11Z,R_1KoLkpNur0lyd7Z,yes,108,1920x1080,19.103,19.103,174.515,1,5.703,5.703,6.751,1,0,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,56,Male,25,Every day,NA,HR technology,108,high,low,NA
109,295,TRUE,2022-11-30T15:05:22Z,R_1C0ZahRn1Pzld5j,yes,109,2560x1440,0,0,186.992,0,55.33,55.33,55.954,1,35,Agree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,44,Male,15,Other,I have read this text carefully,HR technology,109,high,high,NA
110,199,TRUE,2022-11-30T15:05:29Z,R_1dzwEdnlFei0tbD,yes,110,1536x864,4.801,93.82,95.586,2,2.949,4.89,6.056,3,50,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,37,Male,4,Other,I have read this text carefully,HR technology,110,low,high,NA
111,151,TRUE,2022-11-30T15:05:59Z,R_9QSEN21tm9NXvVv,yes,111,384x854,5.808,35.39,36.562,3,2.43,2.43,3.057,1,16,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,41,Female,0,Every day,NA,HR technology,111,low,high,mobile
112,184,TRUE,2022-11-30T15:06:12Z,R_3EfD3RFvKOIO2zk,yes,112,1536x864,0,0,106.834,0,4.93,4.93,6.13,1,75,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,43,Male,5,Other,I have read this text carefully,Public safety,112,low,high,NA
113,155,TRUE,2022-11-30T15:06:13Z,R_3ElMr76L9TceJSi,yes,113,390x844,1.49,6.67,53.32,2,3.403,3.403,4.345,1,0,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,25,Male,2,2-3 times a week,NA,HR technology,113,high,low,mobile
114,781,TRUE,2022-11-30T15:06:14Z,R_2pQU43OIPYACQqO,yes,114,412x883,523.489,540.956,658.031,3,4.224,4.224,5.264,1,36,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,43,Female,4,Other,I have read this text carefully,HR technology,114,low,low,mobile
115,707,TRUE,2022-11-30T15:06:16Z,R_3qX0CllJncxw9Jn,yes,115,1536x864,10.264,10.264,441.415,1,6.744,6.744,7.677,1,28,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,57,Male,1,2-3 times a week,NA,HR technology,115,high,low,NA
116,370,TRUE,2022-11-30T15:06:51Z,R_3flsnreNGxc6GGo,yes,116,2560x1080,52.985,106.563,143.195,22,14.388,44.829,45.212,2,10,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,34,Male,2.5,Other,I have read this text carefully,HR technology,116,low,low,NA
117,235,TRUE,2022-11-30T15:06:59Z,R_e4ilGJePmvaF6wN,yes,117,2560x1440,7.321,7.321,140.371,1,4.229,6.779,7.134,3,0,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,30,Male,6,2-3 times a week,NA,HR technology,117,high,high,NA
118,178,TRUE,2022-11-30T15:07:00Z,R_1ZzjMVEmmMmmDnz,yes,118,1280x1024,4.64,4.64,94.478,1,4.369,8.44,8.714,5,15,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Neither agree nor disagree,47,Male,6,2-3 times a week,NA,HR technology,118,low,low,NA
119,505,TRUE,2022-11-30T15:07:06Z,R_3R2YBgpcSM2voLs,yes,119,390x844,11.772,79.798,303.504,3,9.446,9.446,11.215,1,15,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,51,Male,4,Other,I have read this text carefully,HR technology,119,low,low,mobile
120,457,TRUE,2022-11-30T15:07:08Z,R_11WU1rnlFyDzz8h,yes,120,384x854,2.742,10.009,305.821,2,7.955,7.955,8.767,1,20,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,41,Male,8,Other,I have read this text carefully,HR technology,120,high,high,mobile
121,586,TRUE,2022-11-30T15:07:33Z,R_Ry4qUIzL3XGUe2d,yes,121,1920x1080,19.687,19.687,409.203,1,9.335,9.335,10.365,1,15,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,56,Male,14,Other,I have read this text carefully,HR technology,121,high,high,NA
122,333,TRUE,2022-11-30T15:07:40Z,R_1JINu2KIuezFUP7,yes,122,1536x864,11.072,11.072,204.5,1,8.805,8.805,10.041,1,45,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,33,Male,3,Other,I have read this text carefully,HR technology,122,low,high,NA
123,171,TRUE,2022-11-30T15:07:50Z,R_1dayyHeBHHXBd1n,yes,123,428x926,2.642,4.426,32.081,2,3.862,3.862,4.479,1,60,Agree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,30,Male,4,Never,NA,HR technology,123,high,low,mobile
124,257,TRUE,2022-11-30T15:08:10Z,R_Dq2G1oPiMMQJulr,yes,124,1680x1050,7.36,7.36,92.947,1,0.67,2.018,2.806,2,56,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,34,Female,2,Other,I have read this text carefully,HR technology,124,high,high,NA
125,475,TRUE,2022-11-30T15:08:16Z,R_2PzHeWqQN2DEfFr,yes,125,1280x720,8.142,10.966,235.091,2,8.883,12.739,13.641,2,60,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,59,Female,30,Other,I have read this text carefully,HR technology,125,low,low,NA
126,228,TRUE,2022-11-30T15:08:27Z,R_5aUSUNadBajlEbL,yes,126,1536x864,4.341,4.341,103.812,1,1.904,5.6,6.955,4,2,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,47,Female,8,Other,I have read this text carefully,HR technology,126,high,high,NA
127,209,TRUE,2022-11-30T15:08:32Z,R_3p9yFSAKGus5m5I,yes,127,1280x720,11.098,11.098,79.988,1,5.307,5.307,6.738,1,71,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,49,Female,6,Other,I have read this text carefully,HR technology,127,high,high,NA
128,198,TRUE,2022-11-30T15:08:42Z,R_2zI39PbAHSHyNeW,yes,128,393x851,6.903,84.994,86.001,2,2.676,4.261,4.993,2,20,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,51,Male,4,Other,I have read this text carefully,HR technology,128,high,low,mobile
129,276,TRUE,2022-11-30T15:08:50Z,R_2CroIyBDW4iprPW,yes,129,424x918,11.878,15.407,151.794,2,4.758,4.758,6.006,1,61,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,28,Female,2,Once a week,NA,HR technology,129,low,low,mobile
130,260,TRUE,2022-11-30T15:08:55Z,R_265MWovs4WKBYss,yes,130,414x896,7.881,17.132,121.284,2,6.744,9.321,9.911,4,89,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,26,Male,4,Never,NA,HR technology,130,low,high,mobile
131,344,TRUE,2022-11-30T15:08:56Z,R_231BmNbnFDZbDsR,yes,131,810x1080,9.333,9.333,246.426,1,2.95,5.101,6.638,3,0,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,59,Male,3,Other,I have read this text carefully,HR technology,131,high,low,NA
132,351,TRUE,2022-11-30T15:09:03Z,R_1BRuQ2KqFwqZOLh,yes,132,1536x864,60.063,60.063,176.805,1,7.472,7.472,8.803,1,25,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,31,Male,2,Other,I have read this text carefully,HR technology,132,low,low,NA
133,262,TRUE,2022-11-30T15:09:34Z,R_290xnMv3itiGx6j,yes,133,1920x1080,4.988,4.988,9.702,1,63.059,64.373,65.429,2,3,Strongly disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,50,Female,3,Other,I have read this text carefully,HR technology,133,low,high,NA
134,410,TRUE,2022-11-30T15:09:45Z,R_3HFTCsy0dGQqgGd,yes,134,600x960,104.23,104.23,306.622,1,2.638,5.465,6.228,2,65,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,37,Male,7,Other,I have read this text carefully.,HR technology,134,low,high,mobile
135,566,TRUE,2022-11-30T15:10:02Z,R_8J4eQepnBIpb0kN,yes,135,1920x1080,73.374,215.745,426.846,282,7.697,10.632,11.243,2,30,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,24,Male,0,Other,I have read this text carefully,HR technology,135,high,low,NA
136,737,TRUE,2022-11-30T15:10:03Z,R_3jZr1RNwsXhJA2h,yes,136,1920x1080,4.014,12.08,329.243,2,4.615,4.615,5.834,1,24,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,47,Male,3,2-3 times a week,NA,HR technology,136,low,low,NA
137,338,TRUE,2022-11-30T15:10:04Z,R_1gjbCwArN2GW851,yes,137,1470x956,12.68,12.68,112.052,1,8.511,8.511,9.403,1,85,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,59,Female,3,Other,I have read this text carefully,HR technology,137,high,high,NA
138,542,TRUE,2022-11-30T15:10:12Z,R_SNVrbqzl6N8MfPb,yes,138,800x1334,85.769,85.769,317.32,1,7.923,7.923,8.711,1,10,Disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,45,Male,0,Other,I have read this text carefully,HR technology,138,low,low,mobile
139,128,TRUE,2022-11-30T15:10:37Z,R_CfB8H2cjVXebiud,yes,139,360x800,2.121,4.948,18.626,2,0.867,0.867,1.387,1,72,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,40,Female,22,4-6 times a week,NA,Sports analytics,139,low,high,mobile
140,229,TRUE,2022-11-30T15:10:47Z,R_AcbjujG7EJsETCh,yes,140,486x1079,16.287,16.287,130.785,1,3.763,5.642,6.586,2,32,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,44,Female,11,Other,I have read this text carefully,HR technology,140,high,high,mobile
141,725,TRUE,2022-11-30T15:10:48Z,R_2zSyZbMkW33Zn8k,yes,141,1536x864,29.359,29.359,333.594,1,8.992,8.992,11.817,1,45,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,64,Male,0,Other,I have read this text carefully,HR technology,141,low,high,NA
142,331,TRUE,2022-11-30T15:10:49Z,R_r3l8mbachF6gPUB,yes,142,1366x768,25.463,25.463,105.437,1,8.371,11.929,13.444,3,8,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,74,Male,2,Other,I have read this text carefully,Public safety,142,high,high,NA
143,827,TRUE,2022-11-30T15:10:55Z,R_1nUttUNhMEf9Az1,yes,143,1366x768,77.699,77.699,418.574,1,8.606,14.619,16.11,5,45,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,35,Male,1,Other,I have read this text carefully,HR technology,143,low,low,NA
144,517,TRUE,2022-11-30T15:11:04Z,R_2zvgxe3zhX3wk80,yes,144,1360x765,5.539,49.668,297.585,4,9.78,10.706,13.082,2,70,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,60,Female,10,Other,I have read this text carefully,HR technology,144,high,low,NA
145,498,TRUE,2022-11-30T15:11:21Z,R_x3mQ2LYZf4xrcKR,yes,145,1920x1080,5.981,5.981,7.193,1,339.107,339.107,339.988,1,27,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,32,Male,0,Other,I have read this text carefully,HR technology,145,high,high,NA
146,167,TRUE,2022-11-30T15:11:31Z,R_237crt661OhDLWf,yes,146,360x780,0.481,2.115,85.878,4,1.906,4.706,5.573,4,31,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,32,Male,2,Other,I have read this text carefully,HR technology,146,low,high,mobile
