Types of investment,Age,Sex,Ethnicity simplified,Country of residence,Nationality,Employment status,ID
"Stock Market, Private Equity fund",23,Male,Other,Germany,Turkey,Part-Time,270
"ETF or ETC, Stock Market, Crowdfunding, Options",26,Male,Asian,Canada,Canada,Full-Time,283
"ETF or ETC, Government Bonds, Stock Market, Crowdfunding",30,Male,White,United Kingdom,Belgium,Part-Time,280
"ETF or ETC, Government Bonds, Stock Market, Crowdfunding",53,Male,White,Germany,Germany,Full-Time,272
"Stock Market, Unit trusts, Crowdfunding",53,Female,Black,United Kingdom,United Kingdom,Full-Time,279
"ETF or ETC, Government Bonds, Stock Market, Options, Private Equity fund, Crowdfunding",37,Female,White,United Kingdom,United Kingdom,NA,274
"Crowdfunding, Stock Market, Government Bonds",26,Female,White,United Kingdom,United Kingdom,Full-Time,278
"Stock Market, Crowdfunding, Private Equity fund",35,Male,White,United Kingdom,United Kingdom,Unemployed (and job seeking),282
Crowdfunding,40,Female,White,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",290
"ETF or ETC, Government Bonds, Stock Market, Crowdfunding",25,Male,White,United Kingdom,United Kingdom,NA,287
"Stock Market, Government Bonds, Private Equity fund, Other",55,Female,White,United States,United States,Other,286
"Crowdfunding, ETF or ETC, Stock Market",33,Female,Asian,United Kingdom,United States,Due to start a new job within the next month,289
"Government Bonds, Stock Market, Crowdfunding, Venture Capital fund",28,Male,White,United States,United States,Full-Time,288
"Stock Market, Crowdfunding, Other",39,Female,White,United States,United States,Part-Time,294
"ETF or ETC, Stock Market, Crowdfunding",37,Male,White,United States,United States,Full-Time,291
"Options, Crowdfunding",42,Male,White,United Kingdom,United Kingdom,Full-Time,298
"Stock Market, Government Bonds, Crowdfunding, Other",38,Male,White,United States,United States,Full-Time,300
"ETF or ETC, Stock Market, Crowdfunding",35,Male,Mixed,United States,United States,NA,302
"ETF or ETC, Stock Market, Options, Crowdfunding, Other",28,Male,White,Germany,Germany,Full-Time,303
"Stock Market, Options, Crowdfunding",49,Male,White,United States,United States,Full-Time,308
"Stock Market, Crowdfunding, Private Equity fund, Government Bonds, ETF or ETC",42,Male,White,United States,United States,NA,310
"ETF or ETC, Stock Market, Crowdfunding",30,Male,White,United Kingdom,Poland,Full-Time,313
"Government Bonds, Stock Market, Crowdfunding",41,Male,White,United States,United States,Part-Time,309
"ETF or ETC, Government Bonds, Stock Market, Unit trusts, Crowdfunding",61,Male,White,United Kingdom,United Kingdom,Full-Time,311
"Stock Market, Crowdfunding, Government Bonds",47,Female,Mixed,United States,United States,Full-Time,312
Crowdfunding,24,Male,White,United States,United States,Unemployed (and job seeking),315
