IPAddress,Duration (in seconds),Finished,RecordedDate,ResponseId,consent,ID,browser_info_Resolution,timer_pitch_deck_First Click,timer_pitch_deck_Last Click,timer_pitch_deck_Page Submit,timer_pitch_deck_Click Count,invest_prob_1,fluency_1,quality,cvpa_v_1,cvpa_v_2,cvpa_v_3,cvpa_v_4,cvpa_a_1,cvpa_a_2,cvpa_a_3,cvpa_a_4,cvpa_r_1,cvpa_r_2,cvpa_r_3,age,gender,invest_experience,attention_check,attention_check_99_TEXT,comprehension_check,PROLIFIC_PID,fluency_condition,quality_condition,device
76,338,TRUE,2022-12-21T15:23:41Z,R_1pQe4yLGz80Uk6x,yes,76,1536x864,6.828,6.828,86.644,1,80,90,6,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,37,Female,3,Other,I have read this text carefully,Medical innovation,76,low,low,NA
77,457,TRUE,2022-12-21T15:24:45Z,R_5aozNHs08ZbMHy9,yes,77,1280x720,12.011,14.785,252.946,2,75,100,6,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,50,Female,4,2-3 times a week,NA,Medical innovation,77,high,low,NA
78,446,TRUE,2022-12-21T15:25:13Z,R_2ASwUj4DPdGei3H,yes,78,1280x720,9.377,13.923,355.988,2,71,90,3,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,52,Female,0,2-3 times a week,NA,Medical innovation,78,high,high,NA
79,269,TRUE,2022-12-21T15:25:16Z,R_2uCl4vdw1MChjPm,yes,79,1600x900,8.053,8.053,152.277,1,35,90,5,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,45,Male,5,Other,I have read this text carefully,Medical innovation,79,high,low,NA
80,121,TRUE,2022-12-21T15:25:28Z,R_2V3nHOz0fbomKhF,yes,80,360x772,0.417,17.444,17.938,3,40,65,4,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,26,Male,1,4-6 times a week,NA,Medical innovation,80,high,high,mobile
81,574,TRUE,2022-12-21T15:25:34Z,R_2fdsfugG2SjxrVd,yes,81,1536x864,26.212,26.212,370.359,1,80,19,6,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,71,Male,5,Other,I have read this text carefully.,Medical innovation,81,low,low,NA
82,122,TRUE,2022-12-21T15:27:22Z,R_28IZV8Eoi2GWkzY,yes,82,1536x864,0,0,4.468,0,100,75,6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,26,Male,2,4-6 times a week,NA,Medical innovation,82,low,low,NA
83,303,TRUE,2022-12-21T15:27:42Z,R_2CW9Rru5Dp9uXJW,yes,83,1920x1080,4.189,4.189,197.479,1,60,64,5,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,37,Male,0,Other,I have read this text carefully,Medical innovation,83,high,high,NA
84,355,TRUE,2022-12-21T15:28:08Z,R_Rxf3wFOK36xtKDL,yes,84,810x1080,11.589,11.589,183.821,1,20,21,4,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,50,Male,2,Other,I have read this text carefully,Medical innovation,84,low,low,NA
85,428,TRUE,2022-12-21T15:29:04Z,R_3ffTXtzFKSDGglL,yes,85,1410x940,6.443,13.546,194.562,2,6,82,4,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,48,Male,0,Other,I have read this text carefully,Medical innovation,85,low,high,NA
86,344,TRUE,2022-12-21T15:29:06Z,R_2e3dawQPrJdOH1z,yes,86,1440x900,223.535,223.535,226.649,1,66,63,5,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,40,Male,0,Once a week,NA,Medical innovation,86,high,high,NA
87,454,TRUE,2022-12-21T15:29:10Z,R_RbnnsMbgc0m705z,yes,87,390x844,2.65,9.295,241.071,2,15,66,4,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,31,Female,0,Other,I have read this text carefully,Medical innovation,87,low,low,mobile
88,236,TRUE,2022-12-21T15:30:15Z,R_1N99p0M5gSUH9yp,yes,88,1440x900,0,0,132.898,0,14,0,4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,31,Male,4,Other,I have read this text carefully,Medical innovation,88,low,low,NA
89,194,TRUE,2022-12-21T15:30:51Z,R_1gFnklJHtbDm42E,yes,89,1920x1080,9.547,9.547,77.534,1,20,18,3,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,34,Female,0,Other,I have read this text carefully,Medical innovation,89,low,high,NA
90,260,TRUE,2022-12-21T15:31:30Z,R_1DT4iTikBsO6uAS,yes,90,375x667,5.031,110.604,111.212,3,40,43,5,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,35,Female,5,Other,I have read this text carefully,Medical innovation,90,high,high,mobile
91,422,TRUE,2022-12-21T15:31:54Z,R_2wvFtHwRhlaL2kM,yes,91,1920x1080,12.361,12.361,211.384,1,15,39,4,Strongly disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,37,Male,3,Other,I have read this text carefully,Medical innovation,91,high,low,NA
92,255,TRUE,2022-12-21T15:32:58Z,R_1CxUz1at2a8mtgy,yes,92,1536x864,17.053,18.119,21.093,2,30,20,5,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,30,Male,2,Other,I have read this text carefully,Medical innovation,92,high,high,NA
93,243,TRUE,2022-12-21T15:33:22Z,R_1jCCUHggkPc8r6T,yes,93,1280x720,109.952,143.684,144.187,4,69,83,5,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,37,Male,12,Other,I have read this text carefully,Medical innovation,93,high,high,NA
94,321,TRUE,2022-12-21T15:33:27Z,R_2Vxre9BPuA4Iujo,yes,94,1280x720,11.229,86.944,88.251,2,15,82,2,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,46,Male,0,Other,I have read this text carefully,Medical innovation,94,high,low,NA
95,279,TRUE,2022-12-21T15:33:39Z,R_1rIWx7NQifBOkr6,yes,95,1536x864,10.799,10.799,26.712,1,30,18,4,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,60,Male,5,4-6 times a week,NA,Medical innovation,95,high,low,NA
96,237,TRUE,2022-12-21T15:34:48Z,R_2S0wchTzDGO03oa,yes,96,1440x900,7.768,7.768,116.563,1,75,53,6,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,42,Female,20,Other,I have read this text carefully,Medical innovation,96,low,low,NA
97,205,TRUE,2022-12-21T15:35:14Z,R_21Ao8kMMZfO4mHu,yes,97,1920x1080,3.899,3.899,4.891,1,66,100,7,Disagree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,33,Male,7,Every day,NA,Medical innovation,97,low,low,NA
98,245,TRUE,2022-12-21T15:35:26Z,R_cBAfR4qTblBhWKd,yes,98,412x915,0,0,1.403,0,80,100,5,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,29,Male,1,2-3 times a week,NA,Medical innovation,98,high,low,NA
99,197,TRUE,2022-12-21T15:35:59Z,R_2rkJJp3QqCskj5U,yes,99,1536x864,5.381,5.381,105.29,1,10,56,4,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,32,Male,1,2-3 times a week,NA,Medical innovation,99,high,high,NA
100,784,TRUE,2022-12-21T15:36:13Z,R_7OEZEi79lka7nTH,yes,100,1280x800,17.452,17.452,342.12,1,15,98,4,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,53,Female,1,Other,I have read this text carefully,Medical innovation,100,low,low,NA
101,285,TRUE,2022-12-21T15:38:15Z,R_C98aUT4FYcFxafL,yes,101,1920x1080,7.882,7.882,160.685,1,31,62,6,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,31,Female,2,Other,I have read this text carefully,Medical innovation,101,high,high,NA
102,384,TRUE,2022-12-21T15:38:29Z,R_eevxYnNAzWZSkHD,yes,102,1920x1080,14.064,14.064,208.573,1,10,26,4,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly disagree,Disagree,38,Male,3,Other,I have read this text carefully,Medical innovation,102,low,low,NA
103,185,TRUE,2022-12-21T15:38:39Z,R_1M5NO3qwuIzZMII,yes,103,1536x960,7.722,7.722,99.688,1,70,38,5,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,35,Male,2,Other,I have read this text carefully,Medical innovation,103,low,high,NA
104,142,TRUE,2022-12-21T15:39:01Z,R_3MLuPiv5FVU41F3,yes,104,412x915,3.505,3.505,5.811,1,0,100,6,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,42,Male,1,Never,NA,Medical innovation,104,low,low,mobile
105,476,TRUE,2022-12-21T15:39:12Z,R_2AGApF5FvFocYWB,yes,105,1280x720,37.717,37.717,246.107,1,90,81,6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,43,Male,0,Once a week,NA,Medical innovation,105,high,high,NA
106,450,TRUE,2022-12-21T15:39:14Z,R_32WO0j2i9t9Vz4q,yes,106,1280x720,9.134,13.029,244.033,2,40,43,5,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,32,Male,8,Other,I have read this text carefully,Medical innovation,106,high,high,NA
107,292,TRUE,2022-12-21T15:39:49Z,R_1QE1bgXstc8jvJJ,yes,107,1920x1080,15.018,15.018,181.046,1,55,69,5,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,27,Male,1,Other,I have read this text carefully,Medical innovation,107,low,high,NA
108,376,TRUE,2022-12-21T15:40:17Z,R_20My5kldgx7KvRi,yes,108,390x844,8.54,15.666,192.347,3,59,38,5,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,32,Female,2,Other,I have read this text carefully,Medical innovation,108,low,high,mobile
109,411,TRUE,2022-12-21T15:40:55Z,R_1cYOwPHUkVr0aiY,yes,109,1474x821,30.571,30.571,212.245,1,40,81,5,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,32,Male,3,Other,I have read this text carefully,Medical innovation,109,high,low,NA
110,486,TRUE,2022-12-21T15:41:27Z,R_3qIPKDHdIIJAEiw,yes,110,1280x720,31.059,47.01,359.958,2,31,70,7,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,46,Female,3,Other,I have read this text carefully,Medical innovation,110,low,low,NA
111,606,TRUE,2022-12-21T15:41:52Z,R_2P50SkiIAs6M3I2,yes,111,390x844,2.317,127.249,181.703,7,77,24,5,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,36,Male,6,Other,I have read this text carefully,Medical innovation,111,high,high,mobile
112,181,TRUE,2022-12-21T15:42:39Z,R_WCFX0HiqwlWJ7bz,yes,112,1536x864,11.864,11.864,76.75,1,0,0,4,Strongly disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,40,Male,3,Other,I have read this text carefully,Medical innovation,112,low,low,NA
113,305,TRUE,2022-12-21T15:43:09Z,R_2QxFyb3hOSMj2Cp,yes,113,1920x1080,20.453,20.453,128.711,1,65,79,6,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,38,Male,4,Other,I have read this text carefully,Medical innovation,113,high,high,NA
114,263,TRUE,2022-12-21T15:44:07Z,R_12i22wX9E75Nwcc,yes,114,1920x1080,12.222,12.222,123.01,1,19,24,5,Agree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,36,Male,2,2-3 times a week,NA,Medical innovation,114,low,low,NA
115,194,TRUE,2022-12-21T15:45:12Z,R_2tMB0fgHU0U7LFo,yes,115,1920x1080,11.522,81.465,81.863,2,0,0,1,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,62,Male,5,Other,I have read this text carefully,Medical innovation,115,high,low,NA
116,711,TRUE,2022-12-21T15:45:43Z,R_3oTLddXUDxoIfoW,yes,116,1920x1080,28.614,28.614,359.404,1,26,32,4,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,36,Male,0,Other,I have read this text carefully,Medical innovation,116,high,low,NA
117,217,TRUE,2022-12-21T15:46:33Z,R_ykHGWcJfpu7qLWp,yes,117,1920x1080,5.242,5.242,129.137,1,69,91,6,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,28,Male,1,Other,I have read this text carefully,Medical innovation,117,high,high,NA
118,411,TRUE,2022-12-21T15:46:55Z,R_2wi8Y0xdZGpGhrc,yes,118,1440x900,25.412,25.412,103.056,1,54,17,4,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,38,Female,8,Once a week,NA,Medical innovation,118,low,high,NA
119,225,TRUE,2022-12-21T15:48:40Z,R_WpMv1L8Dm8KAExz,yes,119,375x812,6.761,9.061,69.335,3,66,17,5,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,33,Male,2,Other,'I have read this text carefully',Medical innovation,119,high,low,mobile
120,469,TRUE,2022-12-21T15:48:56Z,R_3mgJnkySv4viniW,yes,120,1920x1080,5.727,5.727,51.541,1,85,100,6,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,27,Male,1,Once a week,NA,Medical innovation,120,high,high,NA
121,212,TRUE,2022-12-21T15:49:43Z,R_2TC1NfDWLbDGi2R,yes,121,1600x900,0,0,2.306,0,51,70,4,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,55,Female,10,Other,I have read this text carefully,HR technology,121,high,low,NA
122,408,TRUE,2022-12-21T15:49:50Z,R_2R4xttrgmQ12spZ,yes,122,1280x800,9.528,9.528,265.952,1,70,66,7,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,38,Female,3,Other,I have read this text carefully,Medical innovation,122,low,high,NA
123,142,TRUE,2022-12-21T15:49:58Z,R_1mU82uskdrA1wSf,yes,123,1920x1080,8.213,8.213,47.65,1,80,100,6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,43,Male,2,Other,I have read this text carefully,Medical innovation,123,high,high,NA
124,163,TRUE,2022-12-21T15:51:03Z,R_cC6oeO2FNGVcb2F,yes,124,1680x1050,2.093,2.093,100.499,1,80,14,5,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,36,Male,0,Other,I have read this text carefully,Medical innovation,124,low,low,NA
125,265,TRUE,2022-12-21T15:51:04Z,R_CjHKC03ocnxJ1Ml,yes,125,2560x1440,8.002,8.002,121.281,1,11,77,4,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,61,Male,5,Other,I have read this text carefully,Medical innovation,125,low,high,NA
126,3678,TRUE,2022-12-21T15:51:08Z,R_2ouQynIYV1RAMil,yes,126,820x1180,71.93,71.93,455.439,1,0,60,4,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,3,Female,1,Other,I have read this text carefully,Medical innovation,126,low,high,mobile
127,593,TRUE,2022-12-21T15:52:46Z,R_1luwg9nAz6W1TtN,yes,127,1280x720,8.967,16.555,338.152,2,0,25,4,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,54,Male,0,Other,I have read this text carefully,Medical innovation,127,high,low,NA
128,344,TRUE,2022-12-21T15:53:01Z,R_T746kaSnaIFmpYR,yes,128,1536x864,4.461,4.461,224.979,1,70,62,5,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,44,Male,2,Other,I have read this carefully,Medical innovation,128,low,low,NA
129,295,TRUE,2022-12-21T15:53:18Z,R_2U4VgaUqnApr1CV,yes,129,360x760,2.614,127.92,128.405,4,90,87,7,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,38,Male,1,Other,I have read this text carefully,Medical innovation,129,low,high,mobile
130,226,TRUE,2022-12-21T15:54:07Z,R_3nc6ao9XM786iR8,yes,130,1536x864,8.597,8.597,115.087,1,74,72,6,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,43,Male,0,Other,I have read this text carefully,Medical innovation,130,low,high,NA
131,168,TRUE,2022-12-21T15:54:14Z,R_2sXfj4pxo3MRrUL,yes,131,384x854,1.045,4.687,81.096,2,97,100,6,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,31,Male,2,Once a week,NA,Medical innovation,131,low,high,mobile
132,191,TRUE,2022-12-21T15:54:28Z,R_2V8sLsQ98vMWkTo,yes,132,2560x1440,0,0,11.847,0,83,78,6,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,44,Male,3,Other,I have read this text carefully,Medical innovation,132,high,low,NA
133,183,TRUE,2022-12-21T15:54:48Z,R_1gcihCOqFqVycdv,yes,133,1707x960,3.508,5.566,87.343,2,60,26,6,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,31,Male,1,Other,I have read this text carefully,Medical innovation,133,high,low,NA
36,47,FALSE,2022-12-21T15:55:44Z,R_26ln98XIzfxQyqs,yes,36,1536x864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,high,high,NA
134,293,TRUE,2022-12-21T15:56:12Z,R_A0DiZNiToEVGVMZ,yes,134,1920x1080,3.591,3.591,17.191,1,80,75,7,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,35,Male,1,Other,I have read this text carefully,Medical innovation,134,low,high,NA
135,279,TRUE,2022-12-21T15:56:33Z,R_2wB3iHWnOCtkKuC,yes,135,390x844,14.684,20.101,129.757,2,85,100,6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,22,Female,0,Other,I have read this text carefully,Medical innovation,135,low,high,mobile
136,417,TRUE,2022-12-21T15:56:59Z,R_3ensDxml4LP2bKU,yes,136,810x1080,11.752,14.718,264.656,3,100,100,6,Disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,56,Female,0,Other,I have read this text carefully,Medical innovation,136,low,low,NA
137,140,TRUE,2022-12-21T15:58:21Z,R_2YEbkfsjYlGD9HD,yes,137,384x824,0.963,34.049,34.572,3,83,39,6,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,29,Female,2,Once a week,NA,Medical innovation,137,low,high,mobile
138,107,TRUE,2022-12-21T15:58:28Z,R_2WMhksDxMQQZu5g,yes,138,1728x1117,2.629,2.629,52.619,1,75,94,5,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,31,Male,1,Once a week,NA,Medical innovation,138,high,low,NA
139,212,TRUE,2022-12-21T15:59:20Z,R_3HjeGDcczzlCQO5,yes,139,1920x1080,0,0,83.727,0,60,83,5,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,36,Female,1,Other,I have read this text carefully,Medical innovation,139,low,low,NA
140,486,TRUE,2022-12-21T15:59:54Z,R_sSwcEguI6SWTlzb,yes,140,412x915,6.457,122.713,320.298,3,100,100,7,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,61,Female,2,Other,I have read this text carefully,Medical innovation,140,high,low,mobile
141,435,TRUE,2022-12-21T16:00:07Z,R_3neEa3cFgBNRMj9,yes,141,2560x1440,24.76,24.76,288.03,1,85,85,6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,43,Male,0,Other,I have read this text carefully,Medical innovation,141,low,low,NA
142,238,TRUE,2022-12-21T16:00:28Z,R_1dHA35JcDtmLBda,yes,142,1920x1080,13.405,13.405,131.782,1,66,67,6,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,26,Female,1,Once a week,NA,Medical innovation,142,high,high,NA
143,266,TRUE,2022-12-21T16:01:22Z,R_3O32kr1nMQw0S4t,yes,143,1280x720,7.676,7.676,166.339,1,10,9,5,Disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,36,Female,0,Other,I have read this text carefully.,Medical innovation,143,low,high,NA
144,185,TRUE,2022-12-21T16:01:25Z,R_3Oigf0rcVCccasB,yes,144,1280x720,4.34,4.34,8.26,1,70,44,4,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,38,Male,3,4-6 times a week,NA,Medical innovation,144,high,low,NA
145,270,TRUE,2022-12-21T16:01:37Z,R_3oRzoJbGV8rDTrO,yes,145,2560x1440,57.45,57.45,155.42,1,29,65,5,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,33,Female,4,Other,I have read this text carefully,Medical innovation,145,low,low,NA
146,368,TRUE,2022-12-21T16:01:46Z,R_sLQe2kK4EzwowWl,yes,146,1920x1080,8.38,12.481,218.703,3,75,31,6,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,47,Female,6,Other,I have read this text carefully,Medical innovation,146,high,high,NA
147,362,TRUE,2022-12-21T16:01:52Z,R_Us7L4H5Hlo9JbXz,yes,147,412x883,11.339,11.339,231.423,1,75,34,5,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,38,Female,0,Other,I have read this text carefully,Medical innovation,147,low,low,mobile
148,259,TRUE,2022-12-21T16:02:30Z,R_3QVj1tDCO8WCwb4,yes,148,1920x1080,3.755,154.013,154.258,3,15,0,5,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,31,Male,0,Other,I have read this text carefully,Medical innovation,148,low,high,NA
149,190,TRUE,2022-12-21T16:02:31Z,R_3hfmq6rcq22dTeV,yes,149,385x854,4.833,4.833,93.405,1,100,100,3,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,34,Female,3,Other,I have read this text carefully,Medical innovation,149,low,high,mobile
150,214,TRUE,2022-12-21T16:02:51Z,R_2wdvRIZrcHiSouk,yes,150,375x667,0.562,14.694,68.165,4,46,30,4,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,35,Male,1,Other,I have read this text carefully,Medical innovation,150,high,low,mobile
151,488,TRUE,2022-12-21T16:02:55Z,R_AoB7NsukjcTpaXD,yes,151,360x740,5.096,11.992,326.648,2,69,55,5,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,35,Female,0,Other,I have read this text carefully,Medical innovation,151,high,high,mobile
152,20,FALSE,2022-12-21T16:04:24Z,R_cZMGmNrnRbplcNH,yes,152,1366x768,0,0,6.715,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,low,low,NA
153,109,TRUE,2022-12-21T16:04:50Z,R_3MR5y5hDI23QEvI,yes,153,1920x1080,6.454,6.454,34.424,1,75,60,5,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,31,Male,0,Other,I have read this text carefully,Medical innovation,153,high,low,NA
