Types of investment,Age,Sex,Ethnicity simplified,Country of residence,Nationality,Employment status,ID
"Stock Market, Private Equity fund, Crowdfunding",29,Male,White,United Kingdom,United Kingdom,Full-Time,287
"ETF or ETC, Government Bonds, Stock Market, Private Equity fund, Venture Capital fund, Angel syndicate, Crowdfunding",48,Male,White,United Kingdom,United Kingdom,Full-Time,248
"Stock Market, Private Equity fund",28,Male,White,United States,United States,NA,255
Crowdfunding,33,Male,White,United Kingdom,United Kingdom,Full-Time,270
"Crowdfunding, Stock Market, Other",38,Female,White,United Kingdom,Poland,Full-Time,263
"Stock Market, Crowdfunding, Other",41,Female,Mixed,United States,Trinidad and Tobago,NA,276
Crowdfunding,38,Male,Black,United Kingdom,Nigeria,Full-Time,260
"ETF or ETC, Stock Market, Crowdfunding",32,Male,White,Germany,Germany,Full-Time,261
"Crowdfunding, Stock Market",37,Female,Asian,Canada,Canada,Full-Time,280
Private Equity fund,73,Female,White,United States,United States,Other,273
"Stock Market, Crowdfunding, Venture Capital fund",37,Male,White,United Kingdom,United Kingdom,Full-Time,277
NA,NA,NA,NA,NA,NA,NA,254
"Private Equity fund, Crowdfunding",45,Male,White,United Kingdom,United Kingdom,Full-Time,281
"Crowdfunding, ETF or ETC",42,Female,Asian,United Kingdom,United Kingdom,Full-Time,288
"ETF or ETC, Government Bonds, Stock Market, Unit trusts, Private Equity fund, Venture Capital fund, Crowdfunding",50,Male,White,United Kingdom,United Kingdom,Full-Time,271
"Stock Market, Crowdfunding, Other",29,Male,White,Canada,Canada,Other,282
"ETF or ETC, Stock Market, Options, Crowdfunding",24,Male,Asian,Canada,Canada,Full-Time,284
Crowdfunding,51,Female,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",275
"ETF or ETC, Stock Market, Crowdfunding",23,Female,White,Germany,Germany,Part-Time,267
"ETF or ETC, Government Bonds, Stock Market, Crowdfunding",39,Male,White,United States,United States,Full-Time,296
"Government Bonds, Stock Market, Crowdfunding, ETF or ETC",26,Male,White,United States,United States,Full-Time,301
"ETF or ETC, Government Bonds, Stock Market, Unit trusts, Crowdfunding",47,Male,White,United Kingdom,United Kingdom,Full-Time,300
"Crowdfunding, Private Equity fund, Stock Market, Unit trusts",45,Male,White,United Kingdom,United Kingdom,Full-Time,297
"ETF or ETC, Crowdfunding",42,Female,White,United Kingdom,United Kingdom,Full-Time,299
"Stock Market, Crowdfunding",33,Female,Asian,United Kingdom,United Kingdom,Full-Time,298
"Private Equity fund, Stock Market, Government Bonds",66,Male,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",303
"ETF or ETC, Stock Market, Crowdfunding, Other",36,Male,Black,United States,United States,Full-Time,302
